la1,dl1,dh1,owndegree1,friendshigh1,friendslow1,la2,dl2,dh2,owndegree2,friendshigh2,friendslow2,la3,dl3,dh3,owndegree3,friendshigh3,friendslow3,la4,dl4,dh4,owndegree4,friendshigh4,friendslow4,qpay,paybonus,treat_row,treat_order,treat_info
0.4,3,10,10,6,4,0.5, 4,11,4,2,2,0.1, 2,20,20,10,10,0.6,11,12,11,6,5,3,6,1,1,1
0.4,3,10,10,6,4,0.5, 4,11,4,2,2,0.1, 2,20,20,10,10,0.6,11,12,11,6,5,3,6,1,1,0
0.4,3,10,10,6,4,0.5, 4,11,4,2,2,0.1, 2,20,20,10,10,0.6,11,12,11,6,5,3,6,1,1,1
0.4,3,10,10,6,4,0.5, 4,11,4,2,2,0.1, 2,20,20,10,10,0.6,11,12,11,6,5,3,6,1,1,0
0.4,3,10,10,6,4,0.5, 4,11,4,2,2,0.1, 2,20,20,10,10,0.6,11,12,11,6,5,3,6,1,1,1
0.4,3,10,10,6,4,0.5, 4,11,4,2,2,0.1, 2,20,20,10,10,0.6,11,12,11,6,5,3,6,1,1,0
0.4,3,10,10,6,4,0.5, 4,11,4,2,2,0.1, 2,20,20,10,10,0.6,11,12,11,6,5,3,6,1,1,1
0.4,3,10,10,6,4,0.5, 4,11,4,2,2,0.1, 2,20,20,10,10,0.6,11,12,11,6,5,3,6,1,1,0
0.4,3,10,10,6,4,0.5, 4,11,4,2,2,0.1, 2,20,20,10,10,0.6,11,12,11,6,5,3,6,1,1,1
0.4,3,10,10,6,4,0.5, 4,11,4,2,2,0.1, 2,20,20,10,10,0.6,11,12,11,6,5,3,6,1,1,0
0.4,3,10,10,6,4,0.5, 4,11,4,2,2,0.1, 2,20,20,10,10,0.6,11,12,11,6,5,3,6,1,1,1
0.4,3,10,10,6,4,0.5, 4,11,4,2,2,0.1, 2,20,20,10,10,0.6,11,12,11,6,5,3,6,1,1,1
0.4,3,10,10,6,4,0.5, 4,11,4,2,2,0.1, 2,20,20,10,10,0.6,11,12,11,6,5,3,6,1,1,1
